Predicted	Actual
[start] 1 n a m a [end]	[start] 1 ɲ a m a [end]
[start] 1 a n a n z ɛ [end]	[start] 1 a a n a [end]
[start] 1 ɲ w a a [end]	[start] 1 ŋ w a a [end]
[start] 1 g ɔ m a [end]	[start] 1 ŋ ɔ m a [end]
[start] 1 z a l a [end]	[start] 1 z a l a [end]
[start] 1 z i n a [end]	[start] 1 l ìì n a [end]
[start] 1 s ɔ n i [end]	[start] 1 s ɔ n i [end]
[start] 1 l i m a [end]	[start] 1 l i m a [end]
[start] 1 n ɛ ɛ [end]	[start] 1 n ɛ [end]
[start] 1 k a a ŋ g a [end]	[start] 1 k a l a a ŋ g a [end]
[start] 1 β ʊ l a [end]	[start] 1 b u l a [end]
[start] 1 t u m a [end]	[start] 1 t ʊ m a [end]
[start] 1 i i i m b a [end]	[start] 1 i m b a [end]
[start] 1 k u m i [end]	[start] 1 k ʊ m i [end]
[start] 1 β i s i [end]	[start] 1 β i s i [end]
[start] 1 ɲ i n i [end]	[start] 1 n ɔ n i [end]
[start] 1 β ɛ ɛ l ɛ [end]	[start] 1 β ɛ ɛ l ɛ [end]
[start] 1 g ɔ m b ɛ [end]	[start] 1 ŋ ɔ ɔ m b ɛ [end]
[start] 1 g a β a [end]	[start] 1 g a β a [end]
[start] 1 β w a a [end]	[start] 1 b w a a [end]
[start] 1 z i m a z a [end]	[start] 1 z i m a [end]
[start] 1 g w a a [end]	[start] 1 g w a [end]
[start] 1 t w i i [end]	[start] 1 t w ɛ ɛ [end]
[start] 1 β ʊ ʊ m b a [end]	[start] 1 β ʊ ʊ m b a [end]
[start] 1 β ɔ l a [end]	[start] 1 β ɔ l a [end]
[start] 1 z ɔ k a [end]	[start] 1 z ɔ k a [end]
[start] 1 i β a [end]	[start] 1 i β a [end]
[start] 1 g ɛ n i [end]	[start] 1 g ɛ n i [end]
[start] 1 l i m i [end]	[start] 1 d i m i [end]
[start] 1 i n ɔ [end]	[start] 1 i n ɔ [end]
[start] 1 s ʊ g ʊ l ʊ [end]	[start] 1 g ʊ l ʊ̀ [end]
[start] 1 f i k a [end]	[start] 1 ʃ i k a [end]
