Predicted	Actual
[start] MonpaBalemu dʒ a ŋ [end]	[start] MonpaBalemu dʒ a ŋ [end]
[start] MonpaBalemu n a n [end]	[start] MonpaBalemu n a n [end]
[start] MonpaBalemu n a n [end]	[start] MonpaBalemu n a n [end]
[start] MonpaBalemu kʰ a ŋ tʃ i l a [end]	[start] MonpaBalemu kʰ a ŋ dʒ i l a [end]
[start] MonpaBalemu b e j a ŋ ɾ a [end]	[start] MonpaBalemu b i j a ŋ ɾ a [end]
[start] MonpaBalemu l e s i [end]	[start] MonpaBalemu l e i s i [end]
[start] MonpaBalemu o m a s a [end]	[start] MonpaBalemu o m ʃ a [end]
[start] MonpaBalemu t a ŋ p u [end]	[start] MonpaBalemu t a ŋ p u [end]
[start] MonpaBalemu tʃʰ a ŋ l u ŋ [end]	[start] MonpaBalemu tʃʰ a ŋ l o ŋ [end]
[start] MonpaBalemu l u s p u [end]	[start] MonpaBalemu l u s p u [end]
[start] MonpaBalemu kʰ a ŋ [end]	[start] MonpaBalemu kʰ a ŋ [end]
[start] MonpaBalemu l i [end]	[start] MonpaBalemu l i [end]
[start] MonpaBalemu m u m b a t i [end]	[start] MonpaBalemu m u m b a t i [end]
[start] MonpaBalemu n a m b u [end]	[start] MonpaBalemu ɲ i m b u [end]
[start] MonpaBalemu g a m d̪ i [end]	[start] MonpaBalemu g a m d i [end]
[start] MonpaBalemu kʰ a m a ŋ [end]	[start] MonpaBalemu kʰ a m u ŋ [end]
[start] MonpaBalemu m ŭ k p a [end]	[start] MonpaBalemu m ŭ k p a [end]
[start] MonpaBalemu pʰ i n a ŋ [end]	[start] MonpaBalemu pʰ i n a ŋ [end]
[start] MonpaBalemu z a m ĭ n [end]	[start] MonpaBalemu z a m ĭ n [end]
[start] MonpaBalemu g a s a [end]	[start] MonpaBalemu g a ʃ a [end]
[start] MonpaBalemu kʰ u [end]	[start] MonpaBalemu kʰ u [end]
[start] MonpaBalemu k o t a ŋ [end]	[start] MonpaBalemu k o t a ŋ [end]
[start] MonpaBalemu g o i tʰ a m [end]	[start] MonpaBalemu k o tʰ a m [end]
[start] MonpaBalemu b a n tʰ o [end]	[start] MonpaBalemu b a n tʰ o [end]
[start] MonpaBalemu j e n [end]	[start] MonpaBalemu j e n [end]
[start] MonpaBalemu a n a [end]	[start] MonpaBalemu a n a [end]
[start] MonpaBalemu s o ŋ tʰ u r [end]	[start] MonpaBalemu s o ŋ tʰ u r [end]
[start] MonpaBalemu t o ŋ p a [end]	[start] MonpaBalemu t o ŋ p a [end]
[start] MonpaBalemu ɲ i ɾ i [end]	[start] MonpaBalemu ɲ i ɾ i [end]
[start] MonpaBalemu m i ŋ [end]	[start] MonpaBalemu m i ŋ [end]
[start] MonpaBalemu tʰ ă ɾ i ŋ b u [end]	[start] MonpaBalemu tʰ a r i ŋ b u [end]
[start] MonpaBalemu dʒ o k p u [end]	[start] MonpaBalemu dʒ o k p u [end]
[start] MonpaBalemu s i [end]	[start] MonpaBalemu s i [end]
[start] MonpaBalemu a p a [end]	[start] MonpaBalemu a p a [end]
[start] MonpaBalemu m i [end]	[start] MonpaBalemu m i [end]
[start] MonpaBalemu ŋ a [end]	[start] MonpaBalemu ŋ a [end]
[start] MonpaBalemu ŋ a [end]	[start] MonpaBalemu ŋ a [end]
[start] MonpaBalemu m o m a ŋ [end]	[start] MonpaBalemu m o m n a ŋ [end]
[start] MonpaBalemu p s i [end]	[start] MonpaBalemu p ʃ i [end]
[start] MonpaBalemu l a m [end]	[start] MonpaBalemu l a m [end]
[start] MonpaBalemu r a w a [end]	[start] MonpaBalemu r a w a [end]
[start] MonpaBalemu s e r [end]	[start] MonpaBalemu s e r [end]
[start] MonpaBalemu tʃʰ a m [end]	[start] MonpaBalemu tʃ a m [end]
[start] MonpaBalemu g a ɾ a ŋ [end]	[start] MonpaBalemu g a ɾ a ŋ [end]
[start] MonpaBalemu ʃ a ɾ a ŋ [end]	[start] MonpaBalemu ʃ j a ɾ a ŋ [end]
[start] MonpaBalemu d̪ a ɾ o ŋ [end]	[start] MonpaBalemu w a ɾ u ŋ [end]
[start] MonpaBalemu pʰ e i [end]	[start] MonpaBalemu pʰ a i [end]
[start] MonpaBalemu dʒ a i tʰ u ɾ a [end]	[start] MonpaBalemu dʒ a tʰ u r [end]
[start] MonpaBalemu b i n a ŋ k a [end]	[start] MonpaBalemu b i n a ŋ [end]
[start] MonpaBalemu tʃ o w a ŋ z a [end]	[start] MonpaBalemu tʃʰ o ŋ [end]
[start] MonpaBalemu ʃ a w a [end]	[start] MonpaBalemu ʃ a w a [end]
[start] MonpaBalemu j a ŋ b u [end]	[start] MonpaBalemu j a ŋ pʰ u [end]
[start] MonpaBalemu tʃʰ u n [end]	[start] MonpaBalemu tʃʰ u n [end]
[start] MonpaBalemu ɾ i n b u [end]	[start] MonpaBalemu ɾ i ŋ m u [end]
[start] MonpaBalemu m a n [end]	[start] MonpaBalemu m a n [end]
[start] MonpaBalemu n u m a [end]	[start] MonpaBalemu n u m a [end]
[start] MonpaBalemu z a l a m [end]	[start] MonpaBalemu z a l a [end]
[start] MonpaBalemu l a n i [end]	[start] MonpaBalemu l a ɲ i [end]
[start] MonpaBalemu a m a [end]	[start] MonpaBalemu a m a [end]
[start] MonpaBalemu n o w a ŋ [end]	[start] MonpaBalemu n o w a ŋ [end]
[start] MonpaBalemu m i n [end]	[start] MonpaBalemu m i ŋ [end]
[start] MonpaBalemu ŋ a ŋ [end]	[start] MonpaBalemu ŋ a ŋ [end]
[start] MonpaBalemu kʰ a m [end]	[start] MonpaBalemu kʰ a m [end]
[start] MonpaBalemu s i ŋ b a [end]	[start] MonpaBalemu s i ŋ m a [end]
[start] MonpaBalemu b i n a ŋ [end]	[start] MonpaBalemu b i n a ŋ [end]
[start] MonpaBalemu j e n a ŋ [end]	[start] MonpaBalemu j e n a ŋ a m [end]
[start] MonpaBalemu n a w a ŋ [end]	[start] MonpaBalemu n a kʰ u ŋ [end]
[start] MonpaBalemu m a n b a [end]	[start] MonpaBalemu m a n m a [end]
[start] MonpaBalemu tʰ u r [end]	[start] MonpaBalemu tʰ u r [end]
[start] MonpaBalemu tʃ o ŋ [end]	[start] MonpaBalemu tʃ o ŋ [end]
[start] MonpaBalemu g a ɾ a ŋ p a [end]	[start] MonpaBalemu g a ɾ a ŋ p a r [end]
[start] MonpaBalemu ʃ u g u [end]	[start] MonpaBalemu ʃ u g u [end]
[start] MonpaBalemu l a m [end]	[start] MonpaBalemu l a m [end]
[start] MonpaBalemu b a d a m [end]	[start] MonpaBalemu b a d a m [end]
[start] MonpaBalemu pʰ a k p a [end]	[start] MonpaBalemu pʰ a k p a [end]
[start] MonpaBalemu ŋ a s [end]	[start] MonpaBalemu ŋ a s [end]
[start] MonpaBalemu ŋ a m s u [end]	[start] MonpaBalemu ŋ a m s u [end]
[start] MonpaBalemu m u d̪ a ŋ b a [end]	[start] MonpaBalemu m u d̪ j a ŋ b a [end]
[start] MonpaBalemu tʃʰ a l u [end]	[start] MonpaBalemu tʃ a l u [end]
[start] MonpaBalemu s u l u [end]	[start] MonpaBalemu s u l u [end]
[start] MonpaBalemu tʃ o i d u ŋ [end]	[start] MonpaBalemu tʃ o i d u ŋ [end]
[start] MonpaBalemu i ɲ tʃʰ a [end]	[start] MonpaBalemu i ŋ tʃ a [end]
[start] MonpaBalemu z u m [end]	[start] MonpaBalemu z u m [end]
[start] MonpaBalemu ŋ o i [end]	[start] MonpaBalemu ŋ o i [end]
[start] MonpaBalemu kʰ u ŋ [end]	[start] MonpaBalemu kʰ u ŋ [end]
[start] MonpaBalemu m o ŋ n a ŋ [end]	[start] MonpaBalemu m o ŋ n a ŋ [end]
[start] MonpaBalemu ŋ a m t̪ u ŋ [end]	[start] MonpaBalemu ŋ a m [end]
